;transcript_id;Raiz_Seca_logFC;logCPM;PValue;FDR;uniprot_name
0;TRINITY_DN1000_c1_g1_i27;-1.66;3.5797;1.5e-08;2.53e-07;ATXR7_ARATH
1;TRINITY_DN1000_c1_g1_i27;-1.66;3.5797;1.5e-08;2.53e-07;ATXR7_ARATH
2;TRINITY_DN1000_c1_g1_i27;-1.66;3.5797;1.5e-08;2.53e-07;ATXR7_ARATH
3;TRINITY_DN10041_c0_g1_i4;0.883;3.7262;0.000222;0.00144;AMPL2_ARATH
4;TRINITY_DN10041_c0_g1_i4;0.883;3.7262;0.000222;0.00144;AMPL2_ARATH
5;TRINITY_DN1005_c0_g2_i3;1.02;5.4025;0.000743;0.00411;VQ4_ARATH
6;TRINITY_DN1005_c0_g2_i3;1.02;5.4025;0.000743;0.00411;VQ4_ARATH
7;TRINITY_DN1009_c0_g1_i20;1.75;4.6516;2.31e-10;5.97e-09;GOGC3_ARATH
8;TRINITY_DN1009_c0_g1_i20;1.75;4.6516;2.31e-10;5.97e-09;GOGC3_ARATH
9;TRINITY_DN10113_c0_g1_i23;-2.89;3.0051;7.5e-09;1.36e-07;G2OX_PHACN
10;TRINITY_DN10113_c0_g1_i23;-2.89;3.0051;7.5e-09;1.36e-07;G2OX_PHACN
11;TRINITY_DN10113_c0_g1_i23;-2.89;3.0051;7.5e-09;1.36e-07;G2OX_PHACN
12;TRINITY_DN10113_c0_g1_i23;-2.89;3.0051;7.5e-09;1.36e-07;G2OX_PHACN
13;TRINITY_DN10113_c0_g1_i23;-2.89;3.0051;7.5e-09;1.36e-07;G2OX_PHACN
14;TRINITY_DN10127_c0_g1_i1;-2.71;2.408;3.06e-05;0.000237;FLA8_ARATH
15;TRINITY_DN10127_c0_g1_i11;0.705;3.3805;0.000489;0.00278;FLA8_ARATH
16;TRINITY_DN1013_c0_g1_i2;3.32;2.2476;6.11e-05;0.000442;HSD4B_ARATH
17;TRINITY_DN1013_c0_g1_i2;3.32;2.2476;6.11e-05;0.000442;HSD4B_ARATH
18;TRINITY_DN10144_c0_g1_i16;-1.12;4.0601;7.5e-09;1.36e-07;BTAF1_ARATH
19;TRINITY_DN10144_c0_g1_i16;-1.12;4.0601;7.5e-09;1.36e-07;BTAF1_ARATH
20;TRINITY_DN10153_c0_g1_i10;1.25;4.9292;5.69e-17;7.65e-15;ASD_ARATH
21;TRINITY_DN10153_c0_g1_i10;1.25;4.9292;5.69e-17;7.65e-15;ASD_ARATH
22;TRINITY_DN10153_c0_g1_i10;1.25;4.9292;5.69e-17;7.65e-15;ASD_ARATH
23;TRINITY_DN10153_c0_g1_i10;1.25;4.9292;5.69e-17;7.65e-15;ASD_ARATH
24;TRINITY_DN10153_c0_g1_i10;1.25;4.9292;5.69e-17;7.65e-15;ASD_ARATH
25;TRINITY_DN10178_c0_g1_i6;-3.64;4.048;1.12e-19;2.9e-17;GRC13_ARATH
26;TRINITY_DN10178_c0_g1_i8;-4.76;4.8168;4.64e-13;2.26e-11;GRC13_ARATH
27;TRINITY_DN10201_c0_g1_i3;1.52;3.0213;1.53e-05;0.000128;RPI2_ARATH
28;TRINITY_DN10211_c0_g1_i5;-3.06;4.3184;1.76e-21;6.9e-19;REMO_SOLTU
29;TRINITY_DN10211_c0_g1_i5;-3.06;4.3184;1.76e-21;6.9e-19;REMO_SOLTU
30;TRINITY_DN1022_c1_g1_i4;0.856;4.8528;9.22e-13;4.17e-11;EF115_ARATH
31;TRINITY_DN1024_c0_g1_i2;-0.703;4.3442;1.5e-08;2.53e-07;Y1490_ARATH
32;TRINITY_DN10276_c0_g1_i1;-0.583;4.2593;4.79e-07;5.73e-06;PPX2_ARATH
33;TRINITY_DN10276_c0_g1_i1;-0.583;4.2593;4.79e-07;5.73e-06;PPX2_ARATH
34;TRINITY_DN10286_c0_g1_i21;1.26;2.6656;0.00195;0.00927;LHT1_ARATH
35;TRINITY_DN10320_c0_g1_i9;0.343;4.3526;0.00443;0.0189;FD6E2_SOYBN
36;TRINITY_DN10320_c0_g1_i9;0.343;4.3526;0.00443;0.0189;FD6E2_SOYBN
37;TRINITY_DN10393_c0_g1_i15;-3.44;4.2841;1.11e-22;6.19e-20;GID1C_ARATH
38;TRINITY_DN10393_c0_g1_i15;-3.44;4.2841;1.11e-22;6.19e-20;GID1C_ARATH
39;TRINITY_DN10393_c0_g1_i16;-1.41;5.2156;8.51e-08;1.25e-06;GID1C_ARATH
40;TRINITY_DN10393_c0_g1_i17;-2.18;4.5133;1.4e-20;4.56e-18;GID1C_ARATH
41;TRINITY_DN10393_c0_g1_i7;-1.77;4.8549;3.52e-21;1.3e-18;GID1C_ARATH
42;TRINITY_DN10393_c0_g1_i7;-1.77;4.8549;3.52e-21;1.3e-18;GID1C_ARATH
43;TRINITY_DN10395_c0_g1_i2;1.6;2.588;0.000489;0.00278;MANA2_ARATH
44;TRINITY_DN10397_c0_g1_i11;-9.4;2.4266;5.99e-08;8.84e-07;RL74_ARATH
45;TRINITY_DN1042_c0_g1_i6;1.04;4.8967;7.24e-15;5.59e-13;BZIP9_ARATH
46;TRINITY_DN1043_c0_g1_i9;-0.467;4.6218;4.94e-05;0.000377;SF3A1_ARATH
47;TRINITY_DN1043_c0_g1_i9;-0.467;4.6218;4.94e-05;0.000377;SF3A1_ARATH
48;TRINITY_DN1043_c0_g1_i9;-0.467;4.6218;4.94e-05;0.000377;SF3A1_ARATH
49;TRINITY_DN10432_c0_g1_i1;1.43;3.517;2.39e-07;3.07e-06;GONS5_ARATH
50;TRINITY_DN10432_c0_g1_i1;1.43;3.517;2.39e-07;3.07e-06;GONS5_ARATH
51;TRINITY_DN10436_c0_g1_i7;1.87;2.3892;0.000489;0.00278;STY13_ARATH
52;TRINITY_DN10436_c0_g1_i7;1.87;2.3892;0.000489;0.00278;STY13_ARATH
53;TRINITY_DN10436_c0_g1_i7;1.87;2.3892;0.000489;0.00278;STY13_ARATH
54;TRINITY_DN1055_c0_g1_i10;0.752;3.6515;3.06e-05;0.000237;SBT17_ARATH
55;TRINITY_DN10573_c0_g1_i16;0.915;4.7723;3.68e-12;1.44e-10;B3GTA_ARATH
56;TRINITY_DN10573_c0_g1_i16;0.915;4.7723;3.68e-12;1.44e-10;B3GTA_ARATH
57;TRINITY_DN10614_c0_g1_i20;0.924;5.0644;3.62e-15;2.98e-13;AL3H1_ARATH
58;TRINITY_DN10614_c0_g1_i20;0.924;5.0644;3.62e-15;2.98e-13;AL3H1_ARATH
59;TRINITY_DN10614_c0_g1_i20;0.924;5.0644;3.62e-15;2.98e-13;AL3H1_ARATH
60;TRINITY_DN10614_c0_g1_i28;0.924;5.0644;3.62e-15;2.98e-13;AL3H1_ARATH
61;TRINITY_DN10614_c0_g1_i28;0.924;5.0644;3.62e-15;2.98e-13;AL3H1_ARATH
62;TRINITY_DN10614_c0_g1_i28;0.924;5.0644;3.62e-15;2.98e-13;AL3H1_ARATH
63;TRINITY_DN10625_c0_g1_i15;2.21;6.8983;0.000165;0.00109;NEP1_NEPGR
64;TRINITY_DN10629_c0_g1_i11;-0.398;4.3804;0.00435;0.0186;WRK69_ARATH
